Date,Price,Open,High,Low,Vol.,Change %
10/11/2023,"8,925","8,925","9,025","8,925",84.31M,0.00%
10/10/2023,"8,925","9,000","9,000","8,925",107.49M,-1.38%
10/09/2023,"9,050","9,025","9,125","9,025",43.77M,0.28%
10/06/2023,"9,025","9,100","9,100","9,025",53.34M,-0.55%
10/05/2023,"9,075","9,200","9,200","9,075",72.86M,-1.36%
10/04/2023,"9,200","9,200","9,250","9,125",112.58M,0.00%
10/03/2023,"9,200","9,075","9,200","9,025",99.11M,1.38%
10/02/2023,"9,075","8,900","9,100","8,875",93.66M,2.83%
09/29/2023,"8,825","8,825","8,900","8,825",119.44M,-0.56%
09/27/2023,"8,875","8,900","9,000","8,875",84.35M,-0.84%
09/26/2023,"8,950","9,000","9,025","8,950",73.54M,-0.56%
09/25/2023,"9,000","9,075","9,075","9,000",56.23M,-0.83%
09/22/2023,"9,075","9,125","9,150","9,075",42.45M,-0.55%
09/21/2023,"9,125","9,125","9,150","9,075",40.61M,-0.27%
09/20/2023,"9,150","9,125","9,175","9,075",54.31M,0.83%
09/19/2023,"9,075","9,000","9,075","8,975",37.02M,0.83%
09/18/2023,"9,000","9,050","9,075","9,000",34.27M,0.00%
09/15/2023,"9,000","9,050","9,100","9,000",121.01M,-1.10%
09/14/2023,"9,100","9,000","9,125","9,000",112.76M,0.28%
09/13/2023,"9,075","9,050","9,075","9,000",69.49M,-0.27%
09/12/2023,"9,100","9,100","9,125","9,075",66.48M,-0.27%
09/11/2023,"9,125","9,075","9,125","9,075",53.16M,0.00%
09/08/2023,"9,125","9,100","9,150","9,050",80.73M,-0.54%
09/07/2023,"9,175","9,125","9,175","9,100",61.41M,0.27%
09/06/2023,"9,150","9,200","9,250","9,150",49.32M,-0.81%
09/05/2023,"9,225","9,250","9,250","9,200",42.01M,0.00%
09/04/2023,"9,225","9,225","9,275","9,175",40.61M,0.00%
09/01/2023,"9,225","9,200","9,275","9,175",42.15M,0.54%
08/31/2023,"9,175","9,200","9,225","9,100",136.11M,-0.27%
08/30/2023,"9,200","9,300","9,300","9,200",56.23M,-0.54%
08/29/2023,"9,250","9,275","9,300","9,200",45.43M,0.54%
08/28/2023,"9,200","9,250","9,250","9,200",44.42M,-0.81%
08/25/2023,"9,275","9,200","9,275","9,175",50.38M,0.82%
08/24/2023,"9,200","9,250","9,325","9,200",53.73M,-1.08%
08/23/2023,"9,300","9,300","9,325","9,275",63.75M,0.00%
08/22/2023,"9,300","9,150","9,325","9,150",65.66M,1.36%
08/21/2023,"9,175","9,225","9,250","9,175",73.57M,-0.81%
08/18/2023,"9,250","9,250","9,350","9,250",79.33M,-0.54%
08/16/2023,"9,300","9,275","9,325","9,250",76.44M,0.00%
08/15/2023,"9,300","9,325","9,375","9,300",59.30M,-0.53%
08/14/2023,"9,350","9,325","9,350","9,225",75.50M,-0.53%
08/11/2023,"9,400","9,425","9,450","9,375",68.90M,0.00%
08/10/2023,"9,400","9,400","9,425","9,350",78.07M,0.00%
08/09/2023,"9,400","9,275","9,400","9,250",77.06M,2.17%
08/08/2023,"9,200","9,275","9,300","9,200",61.29M,-0.81%
08/07/2023,"9,275","9,150","9,275","9,150",55.59M,1.37%
08/04/2023,"9,150","9,250","9,275","9,125",52.68M,-1.08%
08/03/2023,"9,250","9,150","9,300","9,150",64.60M,0.54%
08/02/2023,"9,200","9,125","9,200","9,125",60.63M,0.82%
08/01/2023,"9,125","9,175","9,175","9,100",49.76M,0.00%
07/31/2023,"9,125","9,175","9,200","9,100",80.87M,0.00%
07/28/2023,"9,125","9,200","9,225","9,125",74.51M,-1.08%
07/27/2023,"9,225","9,400","9,400","9,225",77.85M,-1.34%
07/26/2023,"9,350","9,175","9,350","9,125",113.87M,2.19%
07/25/2023,"9,150","9,175","9,300","9,150",122.80M,0.55%
07/24/2023,"9,100","9,200","9,200","9,100",62.06M,-0.55%
07/21/2023,"9,150","9,150","9,175","9,125",42.67M,0.00%
07/20/2023,"9,150","9,200","9,225","9,125",83.48M,0.00%
07/18/2023,"9,150","9,200","9,250","9,100",66.97M,-0.27%
07/17/2023,"9,175","9,200","9,250","9,175",62.55M,-0.27%
07/14/2023,"9,200","9,175","9,200","9,125",55.55M,0.82%
07/13/2023,"9,125","9,200","9,225","9,125",65.23M,-0.54%
07/12/2023,"9,175","9,075","9,175","9,050",61.57M,1.66%
07/11/2023,"9,025","9,100","9,100","9,025",43.70M,-0.28%
07/10/2023,"9,050","9,100","9,100","9,050",28.98M,0.28%
07/07/2023,"9,025","9,025","9,100","9,025",37.64M,-0.55%
07/06/2023,"9,075","9,050","9,100","9,025",52.53M,0.28%
07/05/2023,"9,050","9,050","9,075","9,025",44.61M,0.00%
07/04/2023,"9,050","9,150","9,150","9,050",35.05M,-0.28%
07/03/2023,"9,075","9,025","9,075","9,025",108.88M,-0.82%
06/27/2023,"9,150","9,050","9,150","9,050",36.23M,0.83%
06/26/2023,"9,075","9,025","9,125","9,025",36.39M,0.28%
06/23/2023,"9,050","9,025","9,150","9,025",47.81M,0.00%
