Date,Price,Open,High,Low,Vol.,Change %
05/25/2021,"2,950","2,888","2,975","2,888",90.59M,2.61%
05/24/2021,"2,875","2,938","2,938","2,875",54.90M,-1.29%
05/21/2021,"2,913","2,863","2,950","2,838",140.45M,3.10%
05/20/2021,"2,825","2,825","2,875","2,800",69.61M,-0.44%
05/19/2021,"2,838","2,900","2,925","2,813",98.44M,-3.81%
05/18/2021,"2,950","2,988","3,000","2,913",73.97M,-0.42%
05/17/2021,"2,963","2,988","3,000","2,938",95.10M,0.42%
05/11/2021,"2,950","3,000","3,000","2,925",69.38M,-1.26%
05/10/2021,"2,988","3,013","3,013","2,975",35.48M,0.42%
05/07/2021,"2,975","3,063","3,063","2,975",65.33M,-2.06%
05/06/2021,"3,038","3,063","3,063","3,013",37.09M,0.41%
05/05/2021,"3,025","3,075","3,075","3,025",45.85M,-0.82%
05/04/2021,"3,050","3,025","3,050","2,988",56.36M,0.83%
05/03/2021,"3,025","3,050","3,075","3,000",65.33M,-2.02%
04/30/2021,"3,088","3,113","3,125","3,063",69.94M,-0.80%
04/29/2021,"3,113","3,113","3,138","3,075",82.87M,0.40%
04/28/2021,"3,100","3,050","3,138","3,050",161.16M,2.48%
04/27/2021,"3,025","2,988","3,038","2,975",96.85M,1.26%
04/26/2021,"2,988","3,050","3,063","2,975",115.31M,-2.85%
